name_prov,name_coun,code_coun,code_city,name_city,code_prov,name,id,address,大类,中类,小类,X,Y,X_processed,Y_processed,sub_ID,_timestamp,name_short
浙江省,富阳区,330111,330100,杭州市,330000,阳陂湖(地铁站),BV10844851,6号线,交通设施服务,地铁站,地铁站,119.9275969,30.08435785,119.93,30.08,"(119.93, 30.08)",2021/7/6,阳陂湖
浙江省,滨江区,330108,330100,杭州市,330000,杨家墩(地铁站),BV10965639,4号线,交通设施服务,地铁站,地铁站,120.1441568,30.17014471,120.14,30.17,"(120.14, 30.17)",2021/7/6,杨家墩
浙江省,富阳区,330111,330100,杭州市,330000,野生动物园东地铁站A口,BX10031687,6号线,交通设施服务,地铁站,出入口,119.997355,30.14963466,120,30.15,"(120, 30.15)",2021/7/6,野生动
浙江省,钱塘区,330114,330100,杭州市,330000,义蓬(地铁站),BV11024556,7号线,交通设施服务,地铁站,地铁站,120.4828364,30.27629033,120.48,30.28,"(120.48, 30.28)",2021/7/6,义蓬(
浙江省,余杭区,330110,330100,杭州市,330000,逸盛路(地铁站),BV11211367,(在建)10号线一期,交通设施服务,地铁站,地铁站,120.1087361,30.38077047,120.11,30.38,"(120.11, 30.38)",2021/7/6,逸盛路
浙江省,西湖区,330106,330100,杭州市,330000,音乐学院(地铁站),BV10844854,6号线,交通设施服务,地铁站,地铁站,120.0526325,30.15005734,120.05,30.15,"(120.05, 30.15)",2021/7/6,音乐学
浙江省,富阳区,330111,330100,杭州市,330000,银湖(地铁站),BV10844845,6号线,交通设施服务,地铁站,地铁站,119.9839643,30.14212841,119.98,30.14,"(119.98, 30.14)",2021/7/6,银湖(
浙江省,萧山区,330109,330100,杭州市,330000,盈丰路地铁站B口,BX10013663,2号线,交通设施服务,地铁站,出入口,120.2472286,30.23935203,120.25,30.24,"(120.25, 30.24)",2021/7/6,盈丰路
浙江省,萧山区,330109,330100,杭州市,330000,盈中(地铁站),BV11024549,7号线,交通设施服务,地铁站,地铁站,120.35811,30.20001833,120.36,30.2,"(120.36, 30.2)",2021/7/6,盈中(
浙江省,余杭区,330110,330100,杭州市,330000,永福(地铁站),BV10780769,5号线,交通设施服务,地铁站,地铁站,120.0223049,30.29395224,120.02,30.29,"(120.02, 30.29)",2021/7/6,永福(
浙江省,萧山区,330109,330100,杭州市,330000,永盛路地铁站A口,BX10031644,7号线,交通设施服务,地铁站,出入口,120.4684091,30.23924365,120.47,30.24,"(120.47, 30.24)",2021/7/6,永盛路
浙江省,上城区,330102,330100,杭州市,330000,甬江路地铁站C5口,BX10028792,4号线,交通设施服务,地铁站,出入口,120.1827844,30.22422868,120.18,30.22,"(120.18, 30.22)",2021/7/6,甬江路
浙江省,临平区,330113,330100,杭州市,330000,余杭高铁站地铁站A口,BX10013644,1号线,交通设施服务,地铁站,出入口,120.2935757,30.38493448,120.29,30.38,"(120.29, 30.38)",2021/7/6,余杭高
浙江省,余杭区,330110,330100,杭州市,330000,禹航路地铁站B口,BX10028961,16号线,交通设施服务,地铁站,出入口,119.9501582,30.25179066,119.95,30.25,"(119.95, 30.25)",2021/7/6,禹航路
浙江省,萧山区,330109,330100,杭州市,330000,育才北路地铁站A口,BX10029042,5号线,交通设施服务,地铁站,出入口,120.2735853,30.18402224,120.27,30.18,"(120.27, 30.18)",2021/7/6,育才北
浙江省,上城区,330102,330100,杭州市,330000,御道(地铁站),BV10952979,(在建)9号线一期南段;(在建)机场轨道快线,交通设施服务,地铁站,地铁站,120.2316829,30.27637258,120.23,30.28,"(120.23, 30.28)",2021/7/6,御道(
浙江省,上城区,330102,330100,杭州市,330000,元宝塘(地铁站),BV11027464,(在建)6号线二期,交通设施服务,地铁站,地铁站,120.2165981,30.28545408,120.22,30.29,"(120.22, 30.29)",2021/7/6,元宝塘
浙江省,钱塘区,330114,330100,杭州市,330000,云水(地铁站),BV10187370,1号线,交通设施服务,地铁站,地铁站,120.377192,30.30516449,120.38,30.31,"(120.38, 30.31)",2021/7/6,云水(
浙江省,上城区,330102,330100,杭州市,330000,闸弄口地铁站C口,BX10020607,1号线,交通设施服务,地铁站,出入口,120.1869491,30.28618692,120.19,30.29,"(120.19, 30.29)",2021/7/6,闸弄口
浙江省,滨江区,330108,330100,杭州市,330000,长河(地铁站),BV10743530,5号线;6号线,交通设施服务,地铁站,地铁站,120.1903647,30.19984919,120.19,30.2,"(120.19, 30.2)",2021/7/6,长河(
浙江省,拱墅区,330105,330100,杭州市,330000,长乐路(地铁站),BV11009910,(在建)3号线一期,交通设施服务,地铁站,地铁站,120.1442149,30.30211737,120.14,30.3,"(120.14, 30.3)",2021/7/6,长乐路
浙江省,西湖区,330106,330100,杭州市,330000,浙大紫金港地铁站C2口,BX10027027,5号线,交通设施服务,地铁站,出入口,120.0728522,30.29617236,120.07,30.3,"(120.07, 30.3)",2021/7/6,浙大紫
浙江省,西湖区,330106,330100,杭州市,330000,浙工大屏峰·浙外(地铁站),BV11542178,(在建)3号线支线,交通设施服务,地铁站,地铁站,120.0326927,30.22534492,120.03,30.23,"(120.03, 30.23)",2021/7/6,浙工大
浙江省,萧山区,330109,330100,杭州市,330000,振宁路地铁站D2口,BX10013685,2号线,交通设施服务,地铁站,出入口,120.2651739,30.21971389,120.27,30.22,"(120.27, 30.22)",2021/7/6,振宁路
浙江省,西湖区,330106,330100,杭州市,330000,之浦路(地铁站),BV11043953,6号线,交通设施服务,地铁站,地铁站,120.1038536,30.16069128,120.1,30.16,"(120.1, 30.16)",2021/7/6,之浦路
浙江省,西湖区,330106,330100,杭州市,330000,中村(地铁站),BV10844846,6号线,交通设施服务,地铁站,地铁站,120.0340196,30.14963496,120.03,30.15,"(120.03, 30.15)",2021/7/6,中村(
浙江省,拱墅区,330105,330100,杭州市,330000,中河北路(地铁站),BV10898174,2号线,交通设施服务,地铁站,地铁站,120.1677937,30.26695774,120.17,30.27,"(120.17, 30.27)",2021/7/6,中河北
浙江省,余杭区,330110,330100,杭州市,330000,中泰(地铁站),BV11280865,16号线,交通设施服务,地铁站,地铁站,119.9248983,30.24566152,119.92,30.25,"(119.92, 30.25)",2021/7/6,中泰(
浙江省,滨江区,330108,330100,杭州市,330000,中医药大学地铁站A口,BX10024556,4号线;6号线,交通设施服务,地铁站,出入口,120.1418527,30.17919657,120.14,30.18,"(120.14, 30.18)",2021/7/6,中医药
